city,customer_name,customer_segment,discount,number_of_records,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,product_name,product_sub_category,profit,region,row_id,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code
Mount Prospect,Susan Vittorini,Home Office,0.08,1,2012-01-05,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-188.5812,Central,7352,700.73,2012-01-07,Delivery Truck,26.3,Illinois,120.97,60056
Norman,Pauline Chand,Small Business,0,1,2012-01-05,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,4913.7,2012-01-07,Delivery Truck,17.85,Oklahoma,145.45,73071
Fort Dodge,Matt Collins,Consumer,0.01,1,2012-01-05,1028,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,165,2021.147,2012-01-07,Regular Air,5.99,Iowa,205.99,50501
Bristol,Corey Roper,Small Business,0.02,1,2012-01-06,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,East,6773,2357.45,2012-01-06,Delivery Truck,35.84,Connecticut,100.98,6010
Galesburg,Julia West,Home Office,0.04,1,2012-01-06,23488,Critical,30,0.62,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-11053.6,Central,3284,26133.39,2012-01-07,Delivery Truck,44.55,Illinois,880.98,61401
Petersburg,Muhammed Yedwab,Consumer,0.03,1,2012-01-06,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.61,South,2325,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805
Hilton Head Island,Craig Leslie,Consumer,0.03,1,2012-01-06,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,South,2003,61.7185,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915
Herndon,Tracy Collins,Consumer,0.06,1,2012-01-06,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,South,2350,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170
Hilton Head Island,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,South,2001,3674.08,2012-01-08,Delivery Truck,30,South Carolina,150.98,29915
Royal Palm Beach,Victor Price,Consumer,0.05,1,2012-01-06,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,948,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411
Royal Palm Beach,Victor Price,Consumer,0.07,1,2012-01-06,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,947,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411
Hilton Head Island,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,2002,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915
Herndon,Tracy Collins,Consumer,0.01,1,2012-01-06,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,2351,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170
Fairfax,Maribeth Schnelling,Corporate,0.09,1,2012-01-06,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,5794,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151
San Clemente,Julia Barnett,Home Office,0.03,1,2012-01-06,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,3283,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672
Fairfax,Maribeth Schnelling,Corporate,0.05,1,2012-01-06,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,5795,159.05,2012-01-10,Regular Air,35,Virginia,20.34,20151
Las Vegas,Chloris Kastensmidt,Consumer,0.08,1,2012-01-07,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,West,6199,737.25,2012-01-08,Regular Air,13.18,Nevada,15.99,89115
Franklin Square,Jasper Cacioppo,Home Office,0.05,1,2012-01-07,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,East,450,10.58,2012-01-08,Regular Air,4.77,New York,1.98,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,3,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-2314.74,East,451,2119.67,2012-01-08,Express Air,24.49,New York,699.99,11010
Franklin Square,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,7,0.39,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,102.61,East,452,45923.76,2012-01-08,Regular Air,24.49,New York,6783.02,11010
Norman,Pauline Chand,Small Business,0.07,1,2012-01-07,32295,High,11,0.58,Technology,Small Box,i1000,Telephones and Communication,-112.244,Central,4540,607.597,2012-01-08,Regular Air,5.99,Oklahoma,65.99,73071
Lubbock,George Ashbrook,Consumer,0.09,1,2012-01-07,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,Central,2538,610.65,2012-01-09,Express Air,8.83,Texas,20.98,79424
Lubbock,George Ashbrook,Consumer,0.03,1,2012-01-07,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,Central,2539,158.04,2012-01-10,Regular Air,14.52,Texas,73.98,79424
Fresno,Benjamin Venier,Small Business,0.05,1,2012-01-07,33923,Low,34,0.58,Technology,Small Box,i1000,Telephones and Communication,425.754,West,4778,1961.7915,2012-01-11,Regular Air,5.99,California,65.99,93727
Brunswick,Julie Kriz,Corporate,0.01,1,2012-01-07,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,East,5733,11.57,2012-01-12,Regular Air,0.7,Maine,1.76,4011
Garfield Heights,Sandra Flanagan,Home Office,0.03,1,2012-01-08,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,East,612,75.77,2012-01-08,Regular Air,8.99,Ohio,22.72,44125
Garfield Heights,Sandra Flanagan,Home Office,0.07,1,2012-01-08,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,East,611,64.29,2012-01-08,Regular Air,0.99,Ohio,4.13,44125
Myrtle Beach,Luke Schmidt,Home Office,0.07,1,2012-01-08,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,324.28,2012-01-09,Regular Air,3.5,South Carolina,14.56,29577
Edmonds,Ruben Dartt,Corporate,0.03,1,2012-01-08,7203,High,25,0.38,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,9296.348,West,998,21752.01,2012-01-10,Regular Air,19.99,Washington,896.99,98026
Pasadena,Mark Haberlin,Small Business,0.05,1,2012-01-09,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4451,145.19,2012-01-09,Regular Air,3.97,California,3.28,91104
Lawton,Joni Blumstein,Home Office,0.02,1,2012-01-09,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-38.9,Central,2571,45.87,2012-01-10,Regular Air,6.89,Oklahoma,4.13,73505
Pasadena,Mark Haberlin,Small Business,0.01,1,2012-01-09,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-53.8545,West,4450,68.5,2012-01-10,Regular Air,7.57,California,5.38,91104
Gilroy,Cynthia Voltz,Corporate,0,1,2012-01-09,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,West,1173,541.45,2012-01-11,Express Air,8.99,California,11.66,95020
Plainfield,Yana Sorensen,Corporate,0.07,1,2012-01-09,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,11.32,East,8161,121.87,2012-01-11,Regular Air,1.35,New Jersey,3.29,7060
Augusta,Mark Haberlin,Small Business,0.09,1,2012-01-09,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,East,4449,64.11,2012-01-11,Regular Air,0.97,Maine,2.78,4330
Madison,Olvera Toch,Home Office,0.1,1,2012-01-09,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71,Central,5666,117.88,2012-01-14,Regular Air,2.4,Wisconsin,2.6,53711
King of Prussia,Benjamin Patterson,Corporate,0.04,1,2012-01-09,47138,Low,1,0.59,Technology,Small Box,M70,Telephones and Communication,-506.308,East,6627,107.95,2012-01-16,Regular Air,8.99,Pennsylvania,125.99,19406
East Lansing,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,Central,7731,2137.1,2012-01-11,Delivery Truck,46.74,Michigan,70.98,48823
Denton,Darren Powers,Corporate,0.06,1,2012-01-10,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,Central,2046,63.14,2012-01-11,Regular Air,3.97,Texas,3.28,76201
Lehi,Ann Steele,Corporate,0.02,1,2012-01-10,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,112.81,2012-01-11,Regular Air,9.17,Utah,6.48,84043
Pittsburgh,Rob Haberlin,Consumer,0,1,2012-01-10,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-128.47,East,4787,164.78,2012-01-11,Regular Air,5.14,Pennsylvania,5.02,15122
Essex Junction,Giulietta Dortch,Corporate,0.02,1,2012-01-10,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,420.05,East,4073,1177.5,2012-01-11,Regular Air,1.99,Vermont,33.98,5451
Denton,Darren Powers,Corporate,0.01,1,2012-01-10,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,Central,2045,199.12,2012-01-12,Regular Air,0.96,Texas,8.34,76201
Hazelwood,Maria Bertelson,Home Office,0.01,1,2012-01-10,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,Central,3965,523.58,2012-01-12,Express Air,19.99,MO,161.55,63042
East Lansing,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,Central,7732,571.17,2012-01-12,Regular Air,2.36,Michigan,11.55,48823
Minnetonka,Sean Wendt,Corporate,0.09,1,2012-01-10,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,Central,4425,4906.85,2012-01-12,Regular Air,19.99,Minnesota,162.93,55345
Hazelwood,Maria Bertelson,Home Office,0.05,1,2012-01-10,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,Central,3964,1307.35,2012-01-14,Express Air,8.65,MO,30.42,63042
Pleasure Ridge Park,Michelle Moray,Corporate,0.02,1,2012-01-10,20037,Low,35,0.42,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2775,1009.42,2012-01-15,Regular Air,8.55,Kentucky,29.18,40258
Pleasure Ridge Park,Michelle Moray,Corporate,0.03,1,2012-01-10,20037,Low,49,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,4913.16,South,2776,15137.11,2012-01-15,Delivery Truck,14.7,Kentucky,297.64,40258
Trenton,Bradley Drucker,Small Business,0.03,1,2012-01-11,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,East,4758,216.87,2012-01-11,Regular Air,5.01,New Jersey,11.34,8601
Bellingham,Bradley Drucker,Small Business,0.08,1,2012-01-11,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,653.68,East,4754,4531.34,2012-01-11,Delivery Truck,14.7,MA,297.64,2019
Beverly,Bradley Drucker,Small Business,0.02,1,2012-01-11,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,East,4755,574.5,2012-01-12,Regular Air,14.37,MA,12.99,1915
Hanson,Bradley Drucker,Small Business,0.06,1,2012-01-11,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,East,4756,262.94,2012-01-12,Regular Air,6.75,MA,14.42,2341
Springfield,Alan Barnes,Corporate,0.06,1,2012-01-11,19655,High,31,0.51,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,304.42,Central,2726,1143.45,2012-01-12,Regular Air,1.99,Illinois,39.24,62701
Hawthorne,Bradley Drucker,Small Business,0.05,1,2012-01-11,33797,Not Specified,29,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,-103.78,East,4757,138.17,2012-01-13,Express Air,6.6,New Jersey,4.14,7506
Lebanon,Andy Gerbode,Consumer,0.08,1,2012-01-11,21830,Low,19,0.56,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,906.8,South,3040,6991.65,2012-01-18,Delivery Truck,12.06,Tennessee,399.98,37087
Florence,Cindy Schnelling,Corporate,0.09,1,2012-01-12,20549,Not Specified,40,0.67,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,-568.71,South,2855,1030.09,2012-01-13,Regular Air,19.99,Kentucky,27.75,41042
Englewood,Greg Matthias,Home Office,0.05,1,2012-01-12,7461,Low,12,0.55,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,593.79,West,1024,4080.3,2012-01-14,Delivery Truck,39,Colorado,350.99,80112
Gaithersburg,Rick Reed,Consumer,0.04,1,2012-01-12,43362,Critical,33,0.35,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,2.72,East,6123,58.48,2012-01-14,Regular Air,1,Maryland,1.68,20877
Fort Thomas,Liz Price,Consumer,0.1,1,2012-01-12,27813,Medium,10,0.74,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,-131.03,South,3901,401.14,2012-01-14,Regular Air,6.5,Kentucky,40.98,41075
Gaithersburg,Rick Reed,Consumer,0.03,1,2012-01-12,43362,Critical,45,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,4276.73,East,6122,15963.09,2012-01-15,Delivery Truck,30,Maryland,350.98,20877
Springfield,Guy Thornton,Corporate,0.01,1,2012-01-12,37862,Not Specified,27,0.57,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,452.49,Central,5327,1603.27,2012-01-15,Regular Air,3.99,MO,59.98,65807
Englewood,Greg Matthias,Home Office,0,1,2012-01-12,7461,Low,28,0.38,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,111.4,West,1025,260.79,2012-01-16,Regular Air,1.39,Colorado,8.74,80112
Englewood,Greg Matthias,Home Office,0.02,1,2012-01-12,7461,Low,44,0.83,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,-16.72,West,1026,90.35,2012-01-16,Regular Air,0.7,Colorado,1.98,80112
College Park,Michelle Huthwaite,Home Office,0.06,1,2012-01-13,51623,Critical,17,0.43,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,-66.58,East,7241,39.23,2012-01-13,Regular Air,5.33,Maryland,2.08,20740
Manteca,Brian Stugart,Corporate,0.02,1,2012-01-13,13602,Low,13,0.37,Office Supplies,Small Box,Xerox 1910,Paper,267.67,West,1895,660.99,2012-01-13,Regular Air,5.09,California,48.04,95336
Pembroke Pines,Mike Gockenbach,Consumer,0.07,1,2012-01-13,25541,Low,50,0.36,Office Supplies,Small Box,Xerox 1903,Paper,-111.34,South,3582,297.76,2012-01-15,Regular Air,5.79,Florida,5.98,33024
Manteca,Brian Stugart,Corporate,0.03,1,2012-01-13,13602,Low,3,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,-377.9019,West,1894,445.34,2012-01-18,Delivery Truck,17.85,California,145.45,95336
Post Falls,Tamara Manning,Corporate,0.06,1,2012-01-14,43911,Medium,29,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-53.89,West,6200,577.89,2012-01-14,Regular Air,11.17,Idaho,19.99,83854
Germantown,Toby Swindell,Small Business,0.1,1,2012-01-14,30567,Not Specified,14,0.58,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,-368.02,South,4291,2690.84,2012-01-14,Delivery Truck,68.02,Tennessee,208.16,38138
Allentown,Clytie Kelty,Small Business,0.02,1,2012-01-14,34691,Critical,23,0.56,Technology,Jumbo Drum,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,1425.11,East,4876,7202.94,2012-01-14,Delivery Truck,26.53,Pennsylvania,306.14,18103
Hendersonville,Toby Swindell,Small Business,0.07,1,2012-01-14,30567,Not Specified,8,0.4,Office Supplies,Small Box,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Envelopes,103.13,South,4292,733.55,2012-01-15,Regular Air,19.99,Tennessee,90.48,37075
